CustomerID,TotalTransactions,TotalSpent,MinBalance,MaxBalance,AvgTransaction,TotalReceived_Credit,TotalSpent_Debit,TransactionCount_Channel_ATM,TransactionCount_Channel_Branch,TransactionCount_Channel_BankOnline
43,52.0,18483.1,173.7,14631.88,355.4442308,6285.5,12197.6,12.0,15.0,25.0
44,46.0,13510.49,151.42,14576.47,293.7063043,3141.36,10369.13,17.0,15.0,14.0
45,43.0,15266.54,168.84,13542.41,355.035814,2846.93,12419.61,17.0,11.0,15.0
46,39.0,12896.18,363.92,11151.53,330.6712821,3658.41,9237.77,15.0,14.0,10.0
47,46.0,12885.32,369.86,14804.7,280.1156522,2228.17,10657.15,12.0,15.0,19.0
48,59.0,15652.7,131.25,14401.17,265.3,3961.67,11691.03,20.0,23.0,16.0
49,46.0,10044.39,341.24,14021.4,218.3563043,1753.04,8291.35,9.0,18.0,19.0
50,54.0,17455.78,344.07,14977.99,323.2551852,2294.34,15161.44,20.0,15.0,19.0
51,54.0,14332.18,105.01,14852.42,265.4107407,4232.73,10099.45,17.0,21.0,16.0
52,64.0,18279.65,168.84,13538.14,285.6195313,4852.4,13427.25,20.0,22.0,22.0
53,57.0,18426.45,165.75,14466.38,323.2710526,4384.15,14042.3,17.0,19.0,21.0
54,47.0,12605.02,528.38,14611.9,268.1919149,2432.03,10172.99,15.0,18.0,14.0
55,55.0,13976.61,135.96,14833.34,254.1201818,3847.76,10128.85,17.0,21.0,17.0
56,45.0,14465.88,125.85,13558.56,321.464,5528.17,8937.71,16.0,16.0,13.0
57,57.0,15951.13,364.72,14330.47,279.844386,5202.85,10748.28,20.0,19.0,18.0
58,42.0,7834.97,164.61,14798.1,186.5469048,2723.74,5111.23,15.0,10.0,17.0
59,56.0,16300.34,337.62,14639.28,291.0775,1046.15,15254.19,18.0,19.0,19.0
60,48.0,13936.96,137.42,14330.47,290.3533333,4353.56,9583.4,19.0,16.0,13.0
61,56.0,13941.97,230.09,14783.33,248.96375,3061.47,10880.5,20.0,22.0,14.0
62,40.0,10915.65,102.2,13991.5,272.89125,839.5,10076.15,14.0,11.0,15.0
63,63.0,19785.14,130.76,13801.15,314.0498413,3914.67,15870.47,20.0,19.0,24.0
64,51.0,15647.62,135.96,14180.21,306.8160784,4113.78,11533.84,15.0,26.0,10.0
65,41.0,13200.99,187.9,14466.38,321.9753659,863.5,12337.49,11.0,18.0,12.0
66,55.0,16632.07,206.2,13645.63,302.4012727,3424.36,13207.71,15.0,22.0,18.0
67,45.0,13239.03,106.86,9951.68,294.2006667,3044.4,10194.63,11.0,15.0,19.0
68,46.0,10275.77,151.28,14815.87,223.3863043,3031.28,7244.49,19.0,16.0,11.0
69,67.0,24416.75,160.57,14631.88,364.4291045,6169.21,18247.54,15.0,26.0,26.0
70,54.0,15469.5,164.61,12648.32,286.4722222,5491.12,9978.38,18.0,21.0,15.0
71,52.0,16445.31,293.24,14409.74,316.2559615,6925.79,9519.52,15.0,20.0,17.0
72,55.0,14740.85,151.42,13784.4,268.0154545,4785.85,9955.0,20.0,19.0,16.0
73,47.0,10594.33,363.92,14321.73,225.4112766,678.66,9915.67,12.0,19.0,16.0
74,42.0,12030.05,160.83,14851.28,286.4297619,3403.27,8626.78,12.0,17.0,13.0
75,58.0,14296.8,102.2,14348.65,246.4965517,4300.97,9995.83,23.0,13.0,22.0
76,51.0,13796.44,518.54,13534.3,270.5184314,2723.7,11072.74,16.0,20.0,15.0
77,47.0,15370.42,443.62,13847.99,327.0302128,3836.42,11534.0,12.0,18.0,17.0
78,45.0,16437.44,402.45,14466.38,365.2764444,3957.45,12479.99,12.0,15.0,18.0
79,44.0,10833.92,129.29,14765.41,246.2254545,3141.87,7692.05,16.0,14.0,14.0
80,42.0,11119.85,248.52,14021.4,264.7583333,2403.46,8716.39,17.0,8.0,17.0
81,49.0,14195.02,129.29,12995.7,289.6942857,4451.83,9743.19,14.0,21.0,14.0
82,41.0,13473.2,220.51,14847.97,328.6146341,2391.87,11081.33,17.0,13.0,11.0
83,50.0,18658.66,232.56,14935.5,373.1732,4198.6,14460.06,20.0,20.0,10.0
84,50.0,15030.46,160.83,14847.97,300.6092,3138.98,11891.48,16.0,19.0,15.0
85,57.0,15679.78,193.8,14935.5,275.0838596,4340.81,11338.97,25.0,16.0,16.0
86,51.0,16696.48,160.57,14798.1,327.3819608,3917.53,12778.95,21.0,15.0,15.0
87,51.0,15660.64,129.29,13542.41,307.0713725,4543.25,11117.39,17.0,19.0,15.0
88,62.0,17176.06,229.02,13793.53,277.0332258,4204.79,12971.27,17.0,19.0,26.0
89,44.0,11948.25,102.2,12319.26,271.5511364,3497.17,8451.08,16.0,13.0,15.0
90,52.0,15873.88,465.63,14815.87,305.2669231,2582.39,13291.49,19.0,20.0,13.0
91,63.0,15897.1,112.76,14904.9,252.3349206,3495.14,12401.96,27.0,24.0,12.0
92,44.0,14553.84,129.79,14563.02,330.7690909,2875.64,11678.2,14.0,13.0,17.0
93,61.0,17899.34,162.53,14639.28,293.4318033,4285.29,13614.05,13.0,24.0,24.0
94,55.0,16580.01,112.76,14401.17,301.4547273,5198.31,11381.7,18.0,13.0,24.0
95,50.0,13415.71,431.16,13538.14,268.3142,2093.14,11322.57,13.0,15.0,22.0
96,46.0,14942.07,383.58,14328.29,324.8276087,3248.72,11693.35,21.0,16.0,9.0
97,55.0,15914.3,185.87,14798.1,289.3509091,3034.57,12879.73,19.0,23.0,13.0
98,33.0,8856.27,225.53,14847.97,268.3718182,1932.18,6924.09,8.0,17.0,8.0
99,57.0,15679.32,129.29,14343.0,275.0757895,4045.26,11634.06,21.0,19.0,17.0
100,53.0,12646.57,271.64,14631.88,238.6145283,1157.36,11489.21,9.0,20.0,24.0
101,46.0,14985.62,162.53,14851.28,325.7743478,4474.31,10511.31,18.0,13.0,15.0
102,52.0,16684.85,207.1,14765.41,320.8625,1338.01,15346.84,21.0,14.0,17.0
103,55.0,19940.62,229.02,14489.69,362.5567273,4514.14,15426.48,22.0,18.0,15.0
104,50.0,13986.9,261.97,14639.28,279.738,3745.39,10241.51,11.0,18.0,21.0
105,35.0,8997.81,117.98,13498.55,257.0802857,1761.87,7235.94,14.0,11.0,10.0
106,54.0,15822.53,131.25,14365.18,293.0098148,6385.98,9436.55,11.0,20.0,23.0
107,29.0,7828.16,105.01,14904.9,269.9365517,1007.0,6821.16,7.0,17.0,5.0
108,53.0,17838.18,112.76,14833.34,336.569434,3094.36,14743.82,22.0,14.0,17.0
109,53.0,17224.4,303.68,14464.3,324.9886792,6371.72,10852.68,18.0,19.0,16.0
110,43.0,11001.91,123.24,14365.18,255.8583721,1322.61,9679.3,14.0,13.0,16.0
111,39.0,7931.02,165.75,12961.53,203.3594872,1893.39,6037.63,13.0,15.0,11.0
112,46.0,12199.34,797.1,14851.28,265.2030435,1651.6,10547.74,21.0,12.0,13.0
113,51.0,9385.55,162.53,14851.28,184.0303922,2421.7,6963.85,15.0,23.0,13.0
114,52.0,14645.03,136.77,14631.88,281.6351923,1375.49,13269.54,18.0,18.0,16.0
115,50.0,11303.1,112.76,14473.33,226.062,1455.72,9847.38,19.0,18.0,13.0
116,50.0,15559.74,145.5,14389.45,311.1948,4209.39,11350.35,19.0,10.0,21.0
117,48.0,16740.13,268.77,13017.7,348.7527083,3983.47,12756.66,15.0,17.0,16.0
118,47.0,12582.28,333.19,14611.9,267.7080851,2782.0,9800.28,13.0,18.0,16.0
119,49.0,12449.13,164.12,14330.47,254.0638776,4404.28,8044.85,15.0,19.0,15.0
120,50.0,15009.9,319.18,13694.68,300.198,2910.99,12098.91,17.0,17.0,16.0
121,52.0,12514.38,299.93,12896.06,240.6611538,1771.41,10742.97,20.0,14.0,18.0
122,41.0,10957.12,105.01,13566.58,267.2468293,2469.51,8487.61,9.0,14.0,18.0
123,54.0,15980.69,267.53,14371.08,295.9387037,3133.56,12847.13,18.0,13.0,23.0
124,59.0,17089.31,129.29,12221.17,289.649322,2300.1,14789.21,22.0,19.0,18.0
125,44.0,13499.7,221.79,14395.88,306.8113636,3802.26,9697.44,14.0,21.0,9.0
126,55.0,20593.21,232.56,12571.76,374.422,4513.77,16079.44,11.0,22.0,22.0
127,49.0,13360.5,273.78,13560.63,272.6632653,1784.14,11576.36,17.0,18.0,14.0
128,61.0,16090.56,287.46,13777.1,263.7796721,4633.61,11456.95,26.0,18.0,17.0
129,62.0,20140.55,221.56,13498.55,324.8475806,2280.17,17860.38,22.0,18.0,22.0
130,44.0,11527.06,136.77,14350.11,261.9786364,2143.76,9383.3,17.0,12.0,15.0
131,52.0,14094.71,221.79,14371.08,271.0521154,2566.13,11528.58,19.0,16.0,17.0
132,47.0,17060.76,234.41,13357.02,362.9948936,3104.63,13956.13,20.0,15.0,12.0
133,58.0,17100.27,130.76,14365.18,294.8322414,4084.85,13015.42,12.0,26.0,20.0
134,53.0,15185.51,339.16,13694.68,286.5190566,6483.18,8702.33,15.0,17.0,21.0
135,52.0,18829.36,219.53,14942.78,362.1030769,3812.92,15016.44,19.0,13.0,20.0
136,54.0,10889.57,120.89,14815.87,201.6587037,2395.87,8493.7,17.0,19.0,18.0
137,38.0,10477.69,131.25,14350.11,275.7286842,2777.08,7700.61,18.0,10.0,10.0
138,55.0,18516.79,173.7,14576.47,336.6689091,6250.93,12265.86,15.0,22.0,18.0
139,45.0,13613.95,323.69,13694.68,302.5322222,5626.76,7987.19,12.0,21.0,12.0
140,38.0,8000.95,105.01,14410.44,210.5513158,1736.19,6264.76,15.0,12.0,11.0
141,44.0,12795.23,112.76,14815.87,290.8006818,2662.53,10132.7,15.0,16.0,13.0
142,50.0,16191.16,145.5,14464.3,323.8232,3176.82,13014.34,17.0,13.0,20.0
143,45.0,13305.63,106.86,13625.52,295.6806667,2896.92,10408.71,15.0,21.0,9.0
144,48.0,15056.03,145.5,12626.49,313.6672917,1327.05,13728.98,15.0,19.0,14.0
145,61.0,15575.2,221.79,14268.95,255.3311475,4275.26,11299.94,19.0,14.0,28.0
146,52.0,14580.61,160.57,13884.24,280.3963462,2415.84,12164.77,22.0,13.0,17.0
147,67.0,18009.93,123.24,14833.34,268.8049254,2252.88,15757.05,22.0,20.0,25.0
148,60.0,17650.75,263.98,14350.11,294.1791667,4095.93,13554.82,23.0,22.0,15.0
149,54.0,17530.45,259.77,14833.34,324.637963,4693.12,12837.33,21.0,15.0,18.0
150,57.0,16689.16,160.57,14077.97,292.7922807,2503.22,14185.94,23.0,16.0,18.0
151,69.0,20001.24,189.69,14273.42,289.8730435,4244.4,15756.84,26.0,20.0,23.0
152,58.0,17467.41,187.9,14798.1,301.1622414,2716.08,14751.33,20.0,16.0,22.0
153,41.0,14812.14,362.4,14389.45,361.2717073,3393.69,11418.45,13.0,10.0,18.0
154,45.0,14101.07,151.28,14273.42,313.3571111,3522.6,10578.47,16.0,21.0,8.0
155,54.0,19540.59,112.76,12571.76,361.8627778,5003.83,14536.76,21.0,20.0,13.0
156,39.0,16265.85,160.57,14365.18,417.0730769,2169.61,14096.24,15.0,11.0,13.0
157,64.0,21458.07,117.98,14804.7,335.2823438,7645.98,13812.09,14.0,25.0,25.0
158,55.0,21188.13,319.65,13389.16,385.2387273,3096.24,18091.89,22.0,21.0,12.0
159,55.0,15944.06,339.16,14409.74,289.892,4748.68,11195.38,16.0,20.0,19.0
160,63.0,16788.86,193.8,13913.92,266.4898413,1874.19,14914.67,18.0,23.0,22.0
161,36.0,11062.86,136.77,14928.35,307.3016667,2133.13,8929.73,13.0,15.0,8.0
162,56.0,15535.5,319.65,11481.85,277.4196429,3514.88,12020.62,20.0,19.0,17.0
163,56.0,18284.2,233.21,14489.69,326.5035714,2422.18,15862.02,24.0,19.0,13.0
164,53.0,16715.73,254.75,14389.45,315.3911321,3304.39,13411.34,17.0,20.0,16.0
165,49.0,16555.04,106.86,13054.54,337.8579592,4560.75,11994.29,17.0,19.0,13.0
166,46.0,15175.36,160.57,14077.97,329.8991304,2879.72,12295.64,15.0,16.0,15.0
167,53.0,14445.09,342.73,14829.85,272.5488679,4941.82,9503.27,19.0,12.0,22.0
168,56.0,16279.54,185.47,13694.68,290.7060714,5517.06,10762.48,18.0,20.0,18.0
169,56.0,17116.3,189.69,14401.17,305.6482143,4448.74,12667.56,22.0,13.0,21.0
170,50.0,13141.82,330.16,14401.17,262.8364,2023.44,11118.38,14.0,24.0,12.0
171,60.0,16775.64,101.25,14348.65,279.594,4630.68,12144.96,20.0,25.0,15.0
172,56.0,12686.96,131.25,14365.18,226.5528571,2764.73,9922.23,12.0,18.0,26.0
173,61.0,21841.68,552.52,14464.3,358.0603279,5602.51,16239.17,15.0,29.0,17.0
174,61.0,16401.6,207.74,13293.83,268.8786885,3633.17,12768.43,23.0,21.0,17.0
175,42.0,10351.07,120.89,14765.41,246.4540476,2302.62,8048.45,5.0,22.0,15.0
176,45.0,11601.42,136.77,9500.79,257.8093333,2786.81,8814.61,18.0,18.0,9.0
177,48.0,16271.86,136.77,12883.91,338.9970833,616.16,15655.7,14.0,19.0,15.0
178,51.0,15529.74,344.07,13521.76,304.5047059,1915.45,13614.29,19.0,16.0,16.0
179,43.0,9603.85,312.19,14473.33,223.3453488,2476.83,7127.02,12.0,19.0,12.0
180,37.0,8766.26,162.53,14389.45,236.9259459,1171.05,7595.21,15.0,12.0,10.0
181,36.0,10361.86,299.93,13625.52,287.8294444,2474.98,7886.88,15.0,10.0,11.0
182,46.0,16626.49,102.2,14631.88,361.4454348,3522.42,13104.07,14.0,14.0,18.0
183,65.0,16322.41,431.16,13872.03,251.114,3624.1,12698.31,15.0,23.0,27.0
184,47.0,16479.11,469.14,14371.08,350.6193617,4008.31,12470.8,14.0,19.0,14.0
185,53.0,15054.98,425.77,11991.24,284.0562264,2892.69,12162.29,16.0,15.0,22.0
186,39.0,10461.02,206.2,14935.5,268.2312821,2283.43,8177.59,15.0,11.0,13.0
187,58.0,14053.51,151.42,14676.05,242.3018966,3660.5,10393.01,23.0,19.0,16.0
188,46.0,13391.66,112.76,13847.99,291.1230435,2344.41,11047.25,12.0,17.0,17.0
189,50.0,14695.2,184.72,14473.33,293.904,4171.91,10523.29,13.0,22.0,15.0
190,52.0,19153.68,164.12,13538.14,368.34,5483.92,13669.76,14.0,21.0,17.0
191,58.0,18951.86,580.66,14815.87,326.7562069,5181.57,13770.29,21.0,17.0,20.0
192,62.0,16073.87,112.76,14077.97,259.2559677,4676.27,11397.6,16.0,25.0,21.0
193,48.0,12578.32,162.53,14817.22,262.0483333,2728.01,9850.31,15.0,16.0,17.0
194,57.0,14215.31,192.63,14304.38,249.3914035,2449.7,11765.61,22.0,21.0,14.0
195,53.0,14788.44,201.04,14676.05,279.0271698,1191.3,13597.14,24.0,17.0,12.0
196,51.0,15738.9,173.7,13587.52,308.6058824,5184.13,10554.77,16.0,25.0,10.0
197,47.0,13176.72,151.42,13293.83,280.3557447,3412.32,9764.4,14.0,14.0,19.0
198,56.0,15850.07,164.61,13406.0,283.0369643,2205.46,13644.61,18.0,20.0,18.0
199,44.0,11309.5,222.22,14389.45,257.0340909,2953.83,8355.67,14.0,18.0,12.0
200,51.0,14092.2,327.68,14935.5,276.3176471,4108.15,9984.05,17.0,19.0,15.0
201,44.0,12554.2,480.19,13273.08,285.3227273,1333.72,11220.48,8.0,17.0,19.0
202,43.0,14614.85,130.76,14343.0,339.8802326,638.01,13976.84,12.0,14.0,17.0
203,52.0,14514.9,135.96,14510.8,279.1326923,4571.51,9943.39,21.0,21.0,10.0
204,45.0,18165.74,131.25,14409.74,403.6831111,4521.89,13643.85,14.0,17.0,14.0
205,45.0,13080.24,101.25,14371.08,290.672,3390.07,9690.17,17.0,13.0,15.0
206,62.0,15322.52,165.75,13891.47,247.1374194,4869.51,10453.01,20.0,26.0,16.0
207,43.0,16768.36,167.72,14371.08,389.9618605,412.71,16355.65,13.0,14.0,16.0
208,37.0,12690.04,221.56,14395.88,342.9740541,2400.41,10289.63,13.0,12.0,12.0
209,47.0,11481.77,267.53,14304.38,244.2929787,1507.87,9973.9,17.0,18.0,12.0
210,51.0,13774.64,342.73,13784.4,270.0909804,4969.54,8805.1,19.0,13.0,19.0
211,43.0,13118.45,202.69,14371.08,305.0802326,5695.08,7423.37,14.0,10.0,19.0
212,49.0,11655.35,105.01,14942.78,237.8642857,2642.93,9012.42,14.0,19.0,16.0
213,49.0,12394.43,259.44,14928.35,252.947551,1607.31,10787.12,12.0,20.0,17.0
214,56.0,14580.52,106.86,13531.22,260.3664286,4891.54,9688.98,20.0,22.0,14.0
215,51.0,14039.69,293.24,14563.02,275.2880392,2684.54,11355.15,20.0,13.0,18.0
216,51.0,13316.81,136.77,14464.3,261.1139216,4294.78,9022.03,10.0,27.0,14.0
217,42.0,15084.86,239.12,13696.61,359.1633333,3713.58,11371.28,10.0,16.0,16.0
218,46.0,13419.74,117.98,13586.99,291.7334783,3103.6,10316.14,21.0,17.0,8.0
219,50.0,15852.59,125.85,14631.88,317.0518,2294.35,13558.24,14.0,16.0,20.0
220,60.0,22192.68,173.7,13587.52,369.878,2649.4,19543.28,23.0,22.0,15.0
221,45.0,12087.68,263.98,14847.97,268.6151111,4501.44,7586.24,11.0,17.0,17.0
222,45.0,15941.67,214.61,14765.41,354.2593333,4326.84,11614.83,18.0,10.0,17.0
223,57.0,17673.7,185.87,14904.9,310.0649123,1779.51,15894.19,22.0,17.0,18.0
224,43.0,11859.02,392.34,14798.1,275.7911628,1949.46,9909.56,23.0,10.0,10.0
225,37.0,9987.09,303.68,14783.33,269.9213514,776.89,9210.2,8.0,10.0,19.0
226,45.0,14122.5,137.42,14942.78,313.8333333,3198.9,10923.6,16.0,18.0,11.0
227,58.0,21297.69,224.65,14942.78,367.2015517,5268.63,16029.06,16.0,21.0,21.0
228,46.0,12401.2,263.98,13560.63,269.5913043,1390.08,11011.12,10.0,21.0,15.0
229,54.0,15208.85,101.25,14765.41,281.6453704,6160.21,9048.64,15.0,23.0,16.0
230,45.0,11135.26,289.71,14321.73,247.4502222,2930.44,8204.82,14.0,12.0,19.0
231,56.0,17370.18,250.93,12470.62,310.1817857,3937.87,13432.31,18.0,23.0,15.0
232,45.0,11258.38,222.22,14563.02,250.1862222,2699.33,8559.05,13.0,12.0,20.0
233,53.0,13341.44,185.87,14371.08,251.725283,3181.07,10160.37,20.0,18.0,15.0
234,43.0,9709.64,105.01,14935.5,225.8055814,1391.66,8317.98,16.0,15.0,12.0
235,50.0,12847.45,164.12,14942.78,256.949,3177.37,9670.08,13.0,18.0,19.0
236,67.0,24322.49,129.29,14343.0,363.0222388,6695.48,17627.01,19.0,19.0,29.0
237,43.0,11542.9,232.56,14021.4,268.4395349,2087.45,9455.45,10.0,17.0,16.0
238,56.0,15699.12,167.28,14928.35,280.3414286,3439.67,12259.45,20.0,24.0,12.0
239,61.0,16556.67,369.79,13869.86,271.4208197,5963.24,10593.43,21.0,18.0,22.0
240,55.0,12919.67,160.83,13784.4,234.9030909,3003.07,9916.6,19.0,15.0,21.0
241,46.0,15117.43,106.86,13784.4,328.6397826,3005.41,12112.02,19.0,18.0,9.0
242,53.0,18694.01,101.25,14977.99,352.7171698,3435.72,15258.29,20.0,16.0,17.0
243,42.0,9738.42,160.83,13475.14,231.8671429,1284.71,8453.71,6.0,20.0,16.0
244,47.0,14340.5,131.25,13847.99,305.1170213,3168.28,11172.22,14.0,13.0,20.0
245,37.0,12263.53,490.57,14851.28,331.4467568,1139.17,11124.36,12.0,11.0,14.0
246,52.0,18931.48,225.53,14833.34,364.0669231,4080.78,14850.7,18.0,15.0,19.0
247,49.0,16149.98,225.53,14330.47,329.5914286,4042.07,12107.91,17.0,15.0,17.0
248,54.0,11691.12,129.29,13777.1,216.5022222,2115.3,9575.82,17.0,17.0,20.0
249,53.0,17127.46,431.16,14214.48,323.1596226,2464.86,14662.6,21.0,15.0,17.0
250,41.0,8901.4,233.21,14833.34,217.1073171,1893.64,7007.76,14.0,13.0,14.0
251,67.0,22857.81,207.1,13884.24,341.1613433,2629.78,20228.03,26.0,14.0,27.0
252,47.0,13552.86,123.24,14852.42,288.3587234,5893.16,7659.7,12.0,18.0,17.0
253,49.0,14074.42,535.15,14321.73,287.2330612,2330.45,11743.97,13.0,20.0,16.0
254,40.0,10792.05,173.7,14510.8,269.80125,764.24,10027.81,15.0,11.0,14.0
255,48.0,13830.85,220.51,14348.65,288.1427083,2315.48,11515.37,19.0,13.0,16.0
256,54.0,17785.12,137.42,14783.33,329.3540741,3948.37,13836.75,24.0,16.0,14.0
257,60.0,15841.33,102.2,14904.9,264.0221667,3464.11,12377.22,16.0,23.0,21.0
258,52.0,12289.18,167.28,13913.92,236.3303846,2254.52,10034.66,15.0,22.0,15.0
259,49.0,13008.2,269.01,13347.69,265.4734694,1578.51,11429.69,21.0,17.0,11.0
260,52.0,15107.89,120.89,14833.34,290.5363462,3969.52,11138.37,19.0,18.0,15.0
261,48.0,10318.12,189.69,14473.33,214.9608333,2987.78,7330.34,14.0,15.0,19.0
262,44.0,10238.75,369.86,13793.53,232.6988636,3007.43,7231.32,13.0,15.0,16.0
263,46.0,15176.6,185.87,13884.24,329.926087,5869.49,9307.11,12.0,9.0,25.0
264,55.0,18895.7,137.42,12723.62,343.5581818,4490.08,14405.62,20.0,21.0,14.0
265,50.0,12377.96,168.84,13538.14,247.5592,2612.35,9765.61,20.0,19.0,11.0
266,47.0,15881.57,477.03,13801.15,337.9057447,2939.47,12942.1,15.0,21.0,11.0
267,43.0,16968.03,221.56,14881.77,394.6053488,4247.29,12720.74,15.0,10.0,18.0
268,44.0,14321.36,168.84,14881.77,325.4854545,6083.79,8237.57,18.0,11.0,15.0
269,53.0,12313.03,125.85,14494.18,232.3213208,3297.24,9015.79,13.0,20.0,20.0
270,54.0,21575.0,321.21,12626.49,399.537037,5177.5,16397.5,16.0,23.0,15.0
271,42.0,13091.39,265.51,14410.44,311.6997619,2858.66,10232.73,9.0,16.0,17.0
272,55.0,15429.91,193.06,14676.05,280.5438182,3441.53,11988.38,16.0,15.0,24.0
273,46.0,15450.64,339.16,14350.11,335.8834783,2058.98,13391.66,16.0,15.0,15.0
274,54.0,16853.69,259.44,14473.33,312.1053704,4672.97,12180.72,20.0,17.0,17.0
275,42.0,15755.5,261.97,14815.87,375.1309524,2419.89,13335.61,14.0,7.0,21.0
276,52.0,18251.94,469.14,13988.12,350.9988462,3764.36,14487.58,12.0,20.0,20.0
277,41.0,13623.75,193.06,14350.11,332.2865854,2575.4,11048.35,11.0,14.0,16.0
278,45.0,11802.23,130.76,13182.11,262.2717778,1867.35,9934.88,16.0,17.0,12.0
279,50.0,15824.47,164.61,14833.34,316.4894,2910.76,12913.71,21.0,14.0,15.0
280,55.0,17236.42,461.83,13856.18,313.3894545,3475.35,13761.07,21.0,21.0,13.0
281,46.0,14380.37,167.28,13586.06,312.6167391,4161.26,10219.11,14.0,20.0,12.0
282,44.0,9641.25,342.08,14350.11,219.1193182,2772.13,6869.12,16.0,15.0,13.0
283,44.0,10046.97,120.89,14798.1,228.3402273,1223.09,8823.88,13.0,14.0,17.0
284,51.0,15014.85,129.29,14783.33,294.4088235,3847.93,11166.92,10.0,21.0,20.0
285,44.0,13363.07,392.34,11729.51,303.7061364,3260.69,10102.38,14.0,17.0,13.0
286,48.0,15749.75,271.64,14676.05,328.1197917,1758.28,13991.47,15.0,16.0,17.0
287,43.0,16355.19,248.52,14631.88,380.3532558,5448.87,10906.32,11.0,14.0,18.0
288,45.0,13662.88,167.72,12815.24,303.6195556,2299.32,11363.56,12.0,19.0,14.0
